Авторы,Идентификаторы авторов,Ссылка,Ключевые слова автора,Ключевые слова указателя
"Kuzminov I.F., Thurner T., Chulok A.","56502223900;23978154900;56669650700;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020713984&doi=10.1108%2fFS-10-2016-0048&partnerID=40&md5=27ad9fe0442705fa9e65be6842b4666b","Forecasting; Foresight; Russia; Strategic planning",
"Malyaev V.","57201652512;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045548910&doi=10.21684%2f2412-2343-2017-4-3-62-80&partnerID=40&md5=1e9fbae5705c79dfb782cb00a2d084a7","Islamic banking; Islamic financial products; Legislative problems",
"Kazaryan L., Kantorovich G.","57197758349;57197758647;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034593089&doi=10.1080%2f23322039.2017.1302870&partnerID=40&md5=b6c0daaea5ea0c27575fc72369de3383","CLT; Fat tails; G-bounds; Non-gaussianity; Risk evaluation; The convergence to the normal distribution; Weak-form market efficiency (WFE)",
"Zuev V., Ostrovskaya E., Frolova E.","56153933700;57203296404;57198901410;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037371519&partnerID=40&md5=1a190bbf3d3d4e1597a78025bad1716a","Debt governance; Financial stability; Financial transaction tax; Onfinancial debt; Sustainable and inclusive growth",
"Zykov S.V., Shumsky L.D., Tormasov A.G.","36146486900;55930146900;6506906010;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032352590&doi=10.1016%2fj.procs.2017.08.199&partnerID=40&md5=f6aa95b724005b049d9bb99fd27b2473","applicative computing; automatic configuration; virtual machine","Artificial intelligence; Calculations; Knowledge based systems; Learning systems; Network security; Virtual machine; Abstract machines; applicative computing; Automatic configuration; Developed model; Experimental verification; Information process; Model informations; Virtual machine configuration; Learning algorithms"
"Avdasheva Svetlana B., Makarov Andrey V.","7801623030;57196043483;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031281019&partnerID=40&md5=ef97d629c9b106cb053137d1450df537","Antitrust enforcement; Effect-based enforcement; Horizontal and vertical anticompetitive agreements; Judicial review of infringement decisions; Object-based enforcement; Per se illegality; Rule of reason",
"Kotsemir M.","55903946200;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036652757&partnerID=40&md5=7535b5bd535b1e5ef1e688622833ffbb","Aviation; Bibliometric analysis; Citation analysis; International collaboration; Publication activity; Scientometrics; Scopus; UAV; Unmanned aerial vehicles; VOSviewer","Aviation; International cooperation; Vehicles; Bibliometric analysis; Citation analysis; International collaborations; Publication activities; Scientometrics; Scopus; VOSviewer; Unmanned aerial vehicles (UAV)"
"Meissner D., Rudnik P.","55337583500;55149663200;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029827116&doi=10.1108%2fFS-06-2016-0021&partnerID=40&md5=2af22c161717c486f86b304e879c8ed1","Foresight; Foresight implementation; Foresight network; National foresight; Science; STI priority setting; technology and innovation policy",
"Kovalev A., Proskuryakova L.","56412447300;55252644100;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052772887&doi=10.1201%2fb20992&partnerID=40&md5=f46727a490d490004d7542304bd202b7",,
"(Paramonova) Kuchumova Y.","57192201165;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000716601&doi=10.1016%2fj.jpubeco.2016.11.007&partnerID=40&md5=a340338e785fa47185ea1159306f66ed","Information reporting; Optimal enforcement; Tax audit",
"Avdasheva S.B.","7801623030;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036617967&partnerID=40&md5=9e24e467a156e2f4606a758bfa998691","Liberalization of domestic gas market; Microeconomics; Price remedies; Public procurement; Tariff regulation",
"Kuzminov I., Bereznoy A., Bakhtin P.","56502223900;57190182908;57193674146;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018777290&doi=10.1108%2fFS-06-2016-0026&partnerID=40&md5=de07399ca8f78bd737dea061c25bd837","Energy; Energy market forecasting; Global energy trends; Scenario; Stress scenarios; Technological shifts",
"Saritas O., Dranev Y., Chulok A.","6506092892;56989872200;56669650700;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029845961&doi=10.1108%2fFS-11-2016-0054&partnerID=40&md5=387ada86feef6a89579de9ca40f95f11","Backcasting; Forecasting; Foresight; Russia; Scenario planning; Science and technology policy",
"Saygitov R.T.","6506733400;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029875574&doi=10.1108%2fFS-06-2016-0022&partnerID=40&md5=94914c18ffaf5291c4db67b3c8fdcbad","Biomedicine; Health-related; National trends; Research and development (R&D); Research priorities",
"Chirkova E.V., Valieva D.A., Menshikov Y.S., Nosova A.O.","57195238875;57195239921;57195236516;57195238881;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026433554&doi=10.18288%2f1994-5124-2017-3-07&partnerID=40&md5=6d7854ee2c5c49a00f1866515817d5c7","2008 financial crisis; Bankruptcy; Corporate debt; Corporate debt restructuring; Metallurgical companies; Russia",
"Melnik D.","57200446503;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035079807&doi=10.21557%2fSSC.48463651&partnerID=40&md5=d34613cd748890c9c39f386d19b027d5","Adam Smith; Critique of theories of economic liberalism; Moral economy; Thomas Carlyle; Thomas Hobbes",
"Kossova T., Kossova E., Sheluntcova M.","56427019300;16412933000;56426952400;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018893789&doi=10.1108%2fJES-07-2015-0118&partnerID=40&md5=72f167a5bdaf21329f563e5d066755cf","Alcohol consumption; Beer; Inter-regional differences; Russia; Vodka",
"Mel'nik D.","57200446503;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041358616&doi=10.1017%2fslr.2017.180&partnerID=40&md5=7082cac0ba326d018b9e5c3c98cd4f82",,
"Toporkov V., Toporkova A., Yemelyanov D.","55961546000;6507444021;35175412600;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031017858&doi=10.1007%2f978-3-319-66379-1_3&partnerID=40&md5=213312c014969e50ebf2d1d488aa40ad","Anticipation; Backfilling; Cycle scheduling scheme; Grid; Heuristic; Job batch; Replication; Scheduling; Utilization; Virtual organization",
"Toporkov V., Yemelyanov D., Toporkova A.","55961546000;35175412600;6507444021;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035094688&doi=10.1007%2f978-3-319-71255-0_39&partnerID=40&md5=cb080a7a623c28b6d3cc94d5129ee1b3","Anticipation; Cycle scheduling scheme; Grid; Heuristic; Job batch; Replication; Resources; Scheduling; Utilization; Virtual organization","Geographical distribution; Scheduling; Waste utilization; Anticipation; Grid; Heuristic; Job batch; Replication; Resources; Scheduling schemes; Virtual organization; Job shop scheduling"
"Rubchinsky A.","7801333355;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022343337&doi=10.1007%2f978-3-319-56829-4_10&partnerID=40&md5=b6aade597782d9e1065e3b89b151d4ab",,"Conventional approach; In networks; Network decomposition; New approaches; Numerical index; Complex networks"
"Toporkov V., Yemelyanov D., Toporkova A., Potekhin P.","55961546000;35175412600;6507444021;56786588700;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028694332&doi=10.1007%2f978-3-319-62932-2_36&partnerID=40&md5=df04f3eafa1fa793f0b4970fb9d7e626","Anticipation; Cycle scheduling scheme; Grid; Heuristic; Job batch; Replication; Resources; Scheduling; Utilization; Virtual organization","Binary alloys; Geographical distribution; Osmium alloys; Scheduling; Vanadium alloys; Waste utilization; Anticipation; Grid; Heuristic; Job batch; Replication; Resources; Scheduling schemes; Virtual organization; Job shop scheduling"
"Ermolenko G.V., Proskuryakova L., Ermolenko B.V.","54683774700;55252644100;6508249889;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029855718&doi=10.1108%2fFS-01-2017-0002&partnerID=40&md5=d7538167e1c2419a54f5188772b89484","Energy policy; Installed capacity; Renewable energy potential; Russia",
"Sivak E., Glazkov K.","55861772000;57191475638;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021344950&doi=10.17323%2f1814-9545-2017-2-113-133&partnerID=40&md5=73637d12e0b5603d4350dd28195a7135","Children in a city; Children's everyday mobility; Education geographies; Educational leisure; Geographies of unstructured leisure activities; School students",
"Polivanova K., Smirnov I.","57015286600;57193850740;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021319030&doi=10.17323%2f1814-9545-2017-2-134-152&partnerID=40&md5=0662c1ca16204ad2bd2f417f686555e4","Adolescence; Interests; Machine learning; Social networking services; VKontakte",
"Polivanova K., Bochaver A., Nisskaya A.","57015286600;25622959300;57192267008;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021344801&doi=10.17323%2f1814-9545-2017-2-185-205&partnerID=40&md5=0a05badba052a256465697658cb6bbaa","Adolescence; Clinical observation; Mental development crisis; Sense of maturity",
"Bessant J., Trifilova A.","55900391200;26649224800;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032471269&doi=10.1108%2fBPMJ-10-2016-0215&partnerID=40&md5=766c3c9462238060f9af7d3257c06bcc","Absorptive capacity; Open innovation; Recombinant innovation",
"Beklaryan L.A., Beklaryan A.L.","6602611447;57193798068;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036629320&partnerID=40&md5=57f4ef7572edf93d9de05a9f8e9b9207",,"Boundary conditions; Equations of motion; Mechanics; Numerical methods; Plastic deformation; Solitons; Continuous dependence; Euler-Lagrange equations; Existence and uniqueness theorem; Functional differential equations; Initial and boundary conditions; Mathematical physics; Traveling wave solution; Variational problems; Differential equations"
"Turchenko M.S., Zavadskaya M.A.","57191632022;56214944100;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016278997&doi=10.17976%2fjpps%2f2017.02.09&partnerID=40&md5=26ee59ecc1764d8566e45ca31419486b","Bayesian logic; Case study; Causal mechanism; Electoral reform; Political methodology; Process tracing; Qualitative analysis",
"Shcherbak A., Sych K.","56204912700;57191619742;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992152265&doi=10.1080%2f10758216.2016.1225264&partnerID=40&md5=3ba04e5a6491eaf6305f48c61f0f509e",,
"Abramov R., Gruzdev I., Terentev E.","8250219800;56147446200;57188866467;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017180632&doi=10.17323%2f1814-9545-2017-1-88-111&partnerID=40&md5=25833bea8b3817817c361a9372cbc186","Academic profession; Education and science reform; Job satisfaction; Types of academic professionalism; Work time allocation",
"Zharova A., Elin V., Panfilov P.","56964137900;57194154089;24765338600;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040747017&doi=10.2507%2f28th.daaam.proceedings.158&partnerID=40&md5=35058da33d859e93ff695b16c5e39ad4","Cloud access services; Cloud computing; Personal data; Russian legislation; Security; The cloud provider","Cloud computing; Data privacy; Manufacture; Security of data; Access service; Cloud providers; Government agencies; Information interaction; Legislative support; Private organizations; Public authorities; Security; Laws and legislation"
"Balaeva O., Yakovlev A.","55440425400;36085487700;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85005900963&doi=10.1504%2fIJPM.2017.080916&partnerID=40&md5=6cead8a6a5f61ef48451430f66877cb6","Administrative costs of public procurement; Public customer; Public procurement; Russian public procurement system; Small purchases; Transaction costs",
"Beresneva E., Avdoshin S.M.","57198500974;8122631900;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036658249&partnerID=40&md5=e279e8f29ee3bb9d7b23551df6a4822a","Heuristic algorithms; Metric travelling salesman problem; Pareto-optimal algorithms","Combinatorial optimization; Heuristic algorithms; Optimization; Pareto principle; Polynomial approximation; Polynomials; Software engineering; VLSI circuits; Geographic coordinates; Near-optimal solutions; Pareto-optimal; Research methodologies; Run-time efficiency; Travelling salesman problem; Travelling salesman problem (TSP); Triangle inequality; Traveling salesman problem"
"Veretennik E., Pronin A., Baronene S., Khazieva N.","57195359867;57195357604;57197846744;56414830300;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035239704&partnerID=40&md5=dab9b21d6f03a8086a9b2eb6ba7f6b62","College education; Knowledge sharing; Learning organizations; Organization learning; Professional education","Information management; Knowledge management; Professional aspects; Students; College education; Knowledge-sharing; Learning organizations; Organization learning; Professional education; Education"
"Shumskiy V.B., Osin E.N., Ukolova E.M.","57194653865;35737831400;57193273667;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037337107&partnerID=40&md5=6655e0dcd2fdbf7e0a12fd2f776642b2","Confirmatory Factor Analysis; Eudaimonia; Existential Analysis; Existential Fulfillment; Fundamental Existential Motivations; Psychological Well-Being; Psychometrics",
"Feng P., Yurieva T.S., Tulchinskii G.L., Staniukovich-Denisova E.Iu.","56967575900;57197796571;57197822575;57200244738;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040468900&doi=10.21638%2f11701%2fspbu15.2017.404&partnerID=40&md5=c629b04da0c3e541f27eb8e0eb0026ee","China; Contemporary art; Cultural space; Generation; Liberation; Russia",
"Einolf C.J., Proutea L., Nezhina T., Ibrayeva A.R.","16315834200;57201737023;14625423700;57194286306;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045993369&doi=10.1007%2f978-1-137-26317-9_10&partnerID=40&md5=c8761f304155301572fa6d8b40bd3dba",,
"Smith D.H., Dury S., Mohan J., Stebbins R.A.","55722887700;54883908600;7101857218;7003639165;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045986041&doi=10.1007%2f978-1-137-26317-9_6&partnerID=40&md5=a72a116091498b9dfe7e06f582d7d214",,
"Sizova I.L., Chilipenok Y.Y.","56195417000;57190308094;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019044551&doi=10.17323%2f1727-0634-2017-15-1-67-80&partnerID=40&md5=87b6654ff5e94a4eb6847fa1af959e11","Employer; Labour relations; Small and medium business; State",
"Korshunov I., Gaponova O.","57201132401;57190295347;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043494791&doi=10.17323%2f1814-9545-2017-4-36-59&partnerID=40&md5=46ab239dcb7578832140cb51192419e0","Adult education; Economic development indicators; Formal education attainment rate; Government effectiveness; Lifelong learning; Supplementary education attainment rate",
"Alexandrov D., Ivaniushina V., Simanovsky D.","9243817900;6603652997;57196030037;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031087956&doi=10.17323%2f1814-9545-2017-3-183-201&partnerID=40&md5=72d9d03cdd12049666edd179e9b5d2f2","First-level digital divide; Internet use; Online educational resources; Second-level digital divide",
"Abankina I., Rodina N.","55862160400;57192101943;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043515477&doi=10.17323%2f1814-9545-2017-4-60-82&partnerID=40&md5=05ca1c1d442f7a4a08c2e8c56666c3f1","Effectiveness criteria; Motivation of preschool teachers; Performance-based contracting; Preschool education; Remuneration of labor",
"Grachev A.M., Ignatov D.I., Savchenko A.V.","57198347508;56926915100;42962245900;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036477574&doi=10.1007%2f978-3-319-69900-4_44&partnerID=40&md5=a707b7780d3b5eb338fc033c3933b26a","Language modeling; Low-rank factorization; LSTM; Pruning; Quantization; RNN","Artificial intelligence; Computational linguistics; Factorization; Pattern recognition; Recurrent neural networks; Compression techniques; High space complexity; Language model; LSTM; Mobile applications; Pruning; Quantization; Recurrent neural network (RNNs); Modeling languages"
"Zakharov S.V., Mitrofanova E.S.","7102360958;57021862500;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042028749&doi=10.1142%2f9789813148390_0007&partnerID=40&md5=8cb9c5bc1abef26dd3ea8c9da8c330ed",,
"Smith D.H., Wang L.","55722887700;57201738099;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045980452&doi=10.1007%2f978-1-137-26317-9_29&partnerID=40&md5=b8196abae19818aab70213fb6f204826",,
"Lavrov S., Aleksanyan A.","57194641716;57194639344;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021317708&doi=10.17323%2f1996-7845-2017-01-209&partnerID=40&md5=dff145d3623bf6bea2339c86c55107d1","Gazprom; Lukoil; Multinational enterprises (MNEs); Novatek; Oil and gas sector; Rosneft; Russian companies; Sanctions; Surgutneftegaz; Transnationality index (TNI); Transnationalization; United Nations; United Nations Conference on Trade and Development",
"Mayofis M.","56491193400;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042447205&doi=10.1057%2f978-1-349-95275-5_4&partnerID=40&md5=8af964d2eeecd57adbaee7ab640e9bf8","Alexander I; Conservatism; Immanuel Kant; Liberalism; Napoleon; Napoleonic wars; Perpetual peace; Russia; Sergey Uvarov",
"Levin M.I., Oshchepkov A.Y., Shilova N.V.","14626262900;54080231400;57195236768;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026467886&doi=10.18288%2f1994-5124-2017-2-05&partnerID=40&md5=2948c7cd2fff9e6ce4ea6981daa7270a","Preschool education; Russian Longitudinal Monitoring Survey",
"Kotov A.A., KotovA T.N.","57191706856;57193116911;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026630942&partnerID=40&md5=e2afdf888bc036a124c9c83770faf754","Category; Context; COVIS; Explicit learning; Implicit learning; Knowledge; Learning; Memory",
"Gloukhov A.","57192984681;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044446204&partnerID=40&md5=6dfe50b7dfc237aeb9c141f9d3c82eb8","Colonization; Impossible landscape; Logos; Plato; Political philosophy; Republic; Territorialization; Utopia",
"Levchenko J.","55513272100;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039787599&partnerID=40&md5=e18fab32f72609050647fe14813c87b6","Boris Eikhenbaum; OPOJAZ; Russian formalism; Screenplay; The route to immortality",
"Lander Y.","25637466200;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020912643&doi=10.1075%2fsl.41.1.03lan&partnerID=40&md5=6e8d59ad921f6512c62ec285af908899",,
"Chepurenko A.","6503981307;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031089214&doi=10.17323%2f1814-9545-2017-3-250-276&partnerID=40&md5=6431ec1d6e40f1bedb3037f356d779c0","Entrepreneurial competencies; Entrepreneurial universities; Entrepreneurship; Higher education",
"Pavlovets M.","57195367165;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041050457&doi=10.22394%2f0869-5377-2017-5-65-84&partnerID=40&md5=69920ceaceb306971725d59c9f469378","Late Soviet conservatism; Literature textbooks; Scholastic literature canon; Soviet literature; Stalin",
"Kurennoy V.","56183535300;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044451576&partnerID=40&md5=6068a491930b67fc7fddff61e603eaba","Creative class; Legality; Legitimacy; New media; New romanticism; New urban protests in Russia; Spectacle; Theatricality; Visual culture",
"Levchenko J.","55513272100;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039765822&partnerID=40&md5=dea85ad5ec330d7ceb906f8ec958e668",,
"Dobrokhotov A.L.","37041120500;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034012592&partnerID=40&md5=ff15ce6439240d58440b5b150ac47fd6","A.A. Takho-Godi; Hymnography; Neoplatonism; Proclus; Symbol",
"Karpenko E.","57201359500;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044468848&doi=10.22394%2f0869-5377-2017-6-237-255&partnerID=40&md5=f739969e4a8ff897ec7959d119b4d1e9","Museification; Naturalization; Open-air Soviet memorial park; Soviet monumental heritage",
"Morozov O.","56296803000;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027963423&partnerID=40&md5=14b3efe17d8a3d4e86a4c652482b57ea","Academic community; Berlin University; Higher education; History of universities; Humboldt myth; Jubilee, 1910; Wilhelm von Humboldt",
"Levchenko J.","55513272100;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041024694&doi=10.22394%2f0869-5377-2017-5-25-41&partnerID=40&md5=360f0132746a1ad1159d26cea924beb4","Bolshevik revolution; Class struggle; Discussion in literature; Literary criticism; Polemics; Rhetoric of competition; Russian formalism",
"Voskoboynikov O.","56891173800;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042630941&partnerID=40&md5=0ff70111167ed486f1b78dcda33c2878","Ascetical tradition; Bernard of Clairevaux; Chartres School; Cosmology; Early scholasticism; Medieval humanism; Peter Abaelard; Theology; William of Conches; Williem of Saint Thierry",
"Nim E.G.","57191281269;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030462095&doi=10.19181%2fsocjour.2017.23.3.5361&partnerID=40&md5=b3cc87b5a0bcf4ea1bf7c5c075eba326","Media studies; Mediatization of society; Mediatized worlds",
"Molyarenko O.","57195519487;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037588895&doi=10.17323%2f1811-038X-2017-26-3-142-164&partnerID=40&md5=281508b98a737c022f436755dd98f16d","Funeral business; Funeral services; Land relations; Municipal cemeteries; Rural and urban cemeteries",
"Kukulin I.","36571921100;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030568635&doi=10.17323%2f1728-192X-2017-3-136-173&partnerID=40&md5=26b37a5526fae761cb8ad12880490503","Blat; Conservative modernization; Disciplinary state; Harrison White; Late Soviet society; Shady economy; Social networks",
"Zhanaydarov D.","57200120685;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039763262&partnerID=40&md5=dd7b2ec5a183682ccbd7bb55a39be935","Formalism; Historical imagination; Historical movies; Soviet cinema",
"Naumova M.","57200385083;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041084656&doi=10.22394%2f0869-5377-2017-1-163-184&partnerID=40&md5=3be65d9941679683a9e8722a41283f95","1930s; Fascism; Image of the enemy; Soviet pupils; War; “Pioneer”",
"Dobrowolski D.","57200935868;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042650535&partnerID=40&md5=9b114ddc584d276732284d64d820fc83","Anti-Latin polemics; Church decorations; Filioque; Food restrictions; Matrimonial practices; Old Rus'; Onomasticon; Russia and the West; Sacramental bread",
"Abdulmyanov V., Sivtsov A., Fomichyov N.","57196235272;57196237772;57191276620;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032338856&doi=10.1016%2fj.procs.2017.08.257&partnerID=40&md5=5e54248e28417a5406d1cd6104014e4f","CRM; geo-marketing; integration; target platform","Commerce; Knowledge based systems; Marketing; CRM systems; Geomarketing; Seamless integration; Integration"
"Gusejnov G.","9041770000;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039772560&partnerID=40&md5=b945af5126ecb5e7ca2c3c8f7f5ceb61","Anti-Semitism; Bulgaria; Communism; Cosmopolitism; Dagestan; German Abramov; Internationalism; James Aldridge; Nativism; Pavel Gorelov; Pochvennichestvo; Post-colonial studies; Rasul Gamzatov; Russia; Soviet literature; Vladimir Soloukhin; Yegor Isaev",
"Khestanov R.","38561646200;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044459954&partnerID=40&md5=995217ccb54d5d9c89958a69fe0e25ba","Corruption; Coup d'État; Fiction; Order; Protest movements; Raison d'État; Revolution; State",
"Maiatsky M.","38261600800;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044448500&partnerID=40&md5=8bd65710fe2b7160d7dba0dfdb9207f5","Customer; Knowledge; Managerial turn; Social construction of ignorance; University",
"Voskoboynikov O.","56891173800;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044441595&doi=10.22394%2f0869-5377-2017-6-83-111&partnerID=40&md5=205fc1a3553d8d6565352bde7306f3e0","Bernard Silvestris; Chartres school; Christian cosmogony; Encyclopaedism; Medieval Latin poetry; Prosimetrum",
"Ganzha A.G.","57193868529;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017218357&doi=10.17323%2f1728-192X-2017-1-50-82&partnerID=40&md5=9bf54161174d7bbed28075f2242b0954","Actor-network theory; Critical theory; Disenchantment; Hybrid discourse; Music therapy; Philosophy of music; Theosophy",
"Chepurin K.","57191294126;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044465468&partnerID=40&md5=763b571fdd4fee03fd732f899fd91fe5","German Idealism; Immanence; Immanuel Kant; Temporality; Utopia",
"Mitsyuk A.A., Lomazova I.A., Shugurov I.S., Van Der Aalst W.M.P.","56380468400;6701413146;57193014491;7007153024;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034959443&partnerID=40&md5=8d4fea09d26372e96d5ae0a16b54dc42","Divide and conquer; Petri nets; Process mining; Process model decomposition; Process model repair","Petri nets; Repair; Adequate models; Discovery algorithm; Divide and conquer; Modular approach; Process Discovery; Process mining; Process Modeling; Real-life systems; Image analysis"
"Ilyashenko Y., Shilin I.","56260890300;56260915300;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029570477&doi=10.1090%2fconm%2f692%2f13926&partnerID=40&md5=bbf40a38f2a90eb30a341dc75fdaf8d1",,
"Gerasimova O., Kikot S., Podolskii V., Zakharyaschev M.","57190962423;50262220100;23092161300;6602982360;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027840708&partnerID=40&md5=e301a8bdc9be3d49cf2fdf226524ea42",,"Formal languages; Complexity class; Conjunctive queries; Data complexity; Data description"
"Kravchenko E., Zappalà S.","57193991410;56546615500;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018160174&doi=10.1482%2f86088&partnerID=40&md5=e77f57fe4405c4ee4e8ae79100cc0e76","Collective organizational efficacy; Collective work engagement; Firm internationalization; Work-engagement",
"Gaidar A.I., Bondarenko G.G., Li I.P., Kashirina N.V.","24729382700;7103344120;55520632200;56644571400;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047492996&doi=10.3923%2fjeasci.2017.9075.9081&partnerID=40&md5=8daeb3f3c03cca68039fd4e72d1fea0e","Composition; Electron; Emission active phase; Emission homogeneity; Grain-size; Microscopy; Pressed Pd-Ba cathode; Research",
"Semyonov A.","56184821200;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019880322&doi=10.1353%2fimp.2017.0002&partnerID=40&md5=4de95aac69886deef6eeecc43e33b12a",,
"Efendiev A.G., Gogoleva A.S., Balabanova E.S.","36008134200;57200001708;13004746300;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042123452&doi=10.7868%2fS0132162517120108&partnerID=40&md5=6423bf9130304eb31a42f72b8e922991","Institutional changes; Panel empirical studies; Russian rural community; Social institutions; Social interactions; Social practices",
"Panov A.I.","56504794900;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009165163&doi=10.1016%2fj.bica.2016.12.001&partnerID=40&md5=fb886b262ffcd31b9c0ca11025d8ea4a","Behavior planning; Case-based planning; Causal matrix; MAP algorithm; Semiotic network; Sign image; Sign personal meaning; Sign significance; Sign world model","Complex networks; Intelligent agents; Knowledge representation; Behavior planning; Case-based planning; MAP algorithms; Sign images; Sign personal meaning; Sign significance; World model; Problem solving"
"Burov A., Nikonov V.","14120866400;56224480800;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029910348&doi=10.1016%2fj.proeng.2017.09.042&partnerID=40&md5=f8709acec2a57de048dcf1d33055fd8e","attraction of bodies with irregular mass distribution; degree of instability; Gravitating dumb-bell; libration points; relative equilibria","Bells; Dynamics; Structural dynamics; Approximate expressions; Gravitational fields; Libration point; Mass distribution; Relative equilibria; Spherical harmonics; Stability and bifurcation; Stationary configurations; Gravitation"
"Titkova V., Ivaniushina V., Alexandrov D.","57194766122;6603652997;9243817900;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043528900&doi=10.17323%2f1814-9545-2017-4-171-198&partnerID=40&md5=867cc03112ab4a20a00776bc3853da5a","Gender differences; Perceived popularity; School; Teenager",
