Авторы,Идентификаторы авторов,Ссылка,Ключевые слова автора,Ключевые слова указателя
"Ilyin M.","57191089482;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042035009&doi=10.4324%2f9781315186214&partnerID=40&md5=32a63e9f09e6255a2035c9dd975b1efc",,
"Arkhipov I.","57201291074;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044222572&partnerID=40&md5=c94285c3398518cbc73aa1dcd54e4d45",,
"Cook L., Aasland A., Prisyazhnyuk D.","23034068600;6602778604;56891430200;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038009956&doi=10.1080%2f10758216.2017.1383854&partnerID=40&md5=d05a5b642096c0cf5f73af4adafa6636",,
"BONATTI C., GRINES V., LAUDENBACH F., POCHINKA O.","7003355480;55978243000;24496154900;6507516545;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042212844&doi=10.1017%2fetds.2017.129&partnerID=40&md5=8ff948062d76a02fe44aec4821dcb7f6",,
"Scuotto V., Caputo F., Villasalero M., Del Giudice M.","55960201200;57189995566;36663157100;54412034700;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030979312&doi=10.1080%2f09537287.2017.1375149&partnerID=40&md5=9d52185b25ba956c12dbdf3fe4a94167","digitisation; Information and communication technology; multiply buyer–supply relationship, SMEs; supply chain management","Commerce; Electronic commerce; Information management; Knowledge management; Sales; Coordination costs; Digital supply chain; Digitisation; Electronic infrastructure; Information and Communication Technologies; Structural equation modelling; Supplier relationships; Supply chain managements (SCM); Supply chain management"
"Galinina O., Andreev S., Komarov M., Maltseva S.","36602594600;27067535800;6603888073;56022395900;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018733943&doi=10.1016%2fj.comnet.2017.04.051&partnerID=40&md5=0729daea6d73f5e0f01885ee220c5cc5","Converged 5G-IoT ecosystem; Fifth-generation (5G) networks; Heterogeneous multi-connectivity; Industrial Internet; Internet of Things (IoT); Machine-type applications; Mobile communications technology; Performance reliability","5G mobile communication systems; Ecology; Ecosystems; Industrial research; Mobile telecommunication systems; Optimization; Reliability; Heterogeneous multi-connectivity; Internet infrastructure; Internet of Things (IOT); Mobile communications; Performance reliability; Performance requirements; Postdoctoral researchers; Radio access technologies; Internet of things"
"Alexeeva S., Slioussar N., Chernova D.","56292079100;42162211500;57193693190;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037336761&doi=10.3758%2fs13428-017-0994-3&partnerID=40&md5=35667f8cf597606b1a55676c30ba491e","Frequency; Grammatical properties; Lexical database; Neighborhood; Russian","human; human experiment; neighborhood; Russian (language)"
"Yurchenko A.N., Fedorova O.V., Kurganskii A.V., Machinskaya R.I.","55521738000;35858071300;6603101728;6603207380;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037667016&doi=10.1007%2fs11055-017-0537-5&partnerID=40&md5=e6639f62e3b1dece3b622412b9e89fd2","event-related potentials; neurolinguistics; referential ambiguity; referential selection; speech perception","brain; event related potential; human; speech perception"
"Kotov O.V., Lozovik Y.E.","39262112800;16421007700;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039417478&doi=10.1103%2fPhysRevB.96.235403&partnerID=40&md5=7caebbf55054642134b04b150a97eb6f",,
"Pavlovets M.G.","57195367165;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044745428&doi=10.1080%2f10609393.2017.1433919&partnerID=40&md5=010fbccedb533033de6e0f3812d2d617",,
"Ishchenko N.I.","57201428815;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044758263&doi=10.1080%2f10609393.2017.1433913&partnerID=40&md5=8d8eedafdb90db79c62a51495f00ec84",,
"Demin M.R.","57195640095;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044726621&doi=10.1080%2f10609393.2017.1433912&partnerID=40&md5=9aa60c88d400c672179d9de884332ef8",,
"Kabatskov A.N., Leybovich O.L.","57200106463;57191610916;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044773221&doi=10.1080%2f10609393.2017.1433918&partnerID=40&md5=777f96fa81d6fd4b2419e0faf4804400",,
"Schmalz X., Porshnev A., Marinus E.","55575415200;56109471800;24483320000;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992481925&doi=10.1080%2f17470218.2016.1247895&partnerID=40&md5=8b6e2302a46621310ae5a20d90545a42","Letters; Nonwords; Reading; Sublexical processing; Whammies","attention; auditory stimulation; female; hearing; human; male; phonetics; photostimulation; physiology; reaction time; reading; Russian Federation; speech; student; university; vision; vocabulary; Acoustic Stimulation; Attention; Auditory Perception; Female; Humans; Male; Phonetics; Photic Stimulation; Reaction Time; Reading; Russia; Speech; Students; Universities; Visual Perception; Vocabulary"
"Shitov Y.","35148401800;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028012808&doi=10.1016%2fj.laa.2017.08.008&partnerID=40&md5=82ed3bed889cdda971fcae6219fadb9a","Eigenvalues; Matrix theory; Zero pattern",
"Smirnova E.A.","56027369800;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037747510&doi=10.1177%2f0033688216684280&partnerID=40&md5=b9124b6f00c172f884507ffcc3c0d311","corpora; IELTS preparation; language skills; learner’s autonomy; washback",
"Kurakin D.","36135586700;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038015026&doi=10.1177%2f1749975517728625&partnerID=40&md5=024a802e92c9cb31337c3614f19974b1","cultural sociology; cultural turn; history of sociology; Russia; sociological research; sociological theory; sociologists; sociology of culture; Soviet Union",
"Ushchev P.","56003608300;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031703184&doi=10.1016%2fj.rie.2017.09.001&partnerID=40&md5=7743ed4ca679d38449a8c20d25f24ea1","Economies of scope; Imperfect competition; Multi-product firms",
"Rutkevich A.M.","36712571700;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034658087&doi=10.1007%2fs11212-017-9296-7&partnerID=40&md5=289cc1d1328044462554a539df7e832c","Empire; Enlightenment; Fight for recognition; Kojève’s philosophy of history; Master and slave; Revolution",
"Dyachenko E.L.","35236625800;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031926592&doi=10.1007%2fs11192-017-2553-1&partnerID=40&md5=9fc58f20918bd3a142d4b2ab309e4ae3",,
"Kadochnikov S., Fedyunina A.","56805200300;56062931900;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037622370&partnerID=40&md5=b9d3d8bec089ad32d235cafeae3c44db","Export; Foreign direct investment; Russian regions; Spillovers",
"Podobryaev A.","57196097553;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031818321&doi=10.1007%2fs11050-017-9138-7&partnerID=40&md5=a44b3a385d607d4abc268f368d05ad99","Imposters; Indexicality; Person features; Semantics of pronouns",
"Dobrokhotov A.L.","37041120500;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034241083&doi=10.1007%2fs11212-017-9293-x&partnerID=40&md5=1c08c972b4e95d28623167a929f6c7f8","A. Blok; Andrey Bely; M. Voloshin; Philosophy; Revolution; Russian symbolism; Vyach. Ivanov",
"Korneychuk B.","56868676800;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036623325&doi=10.11130%2fjei.2017.32.4.883&partnerID=40&md5=8d23dc9fe4daca78d7725805608b91e4","Global economy; Keynesian model; Tax competition; Tax policy",
"Bronzo S.","55247426800;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013469014&doi=10.1111%2fejop.12212&partnerID=40&md5=9fa449fe0cb0734a17c68af2236481f8",,
"Zaretskiy Y.","55988267400;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041836402&doi=10.1017%2fslr.2017.275&partnerID=40&md5=35983a00fb356bddbd8da517cd92a6fd",,
"Yelizarov A.A., Pchelnikov Y.N., Shaymardanov R.V.","57202732894;6603531328;55650079800;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042133270&doi=10.1134%2fS1063785017120173&partnerID=40&md5=74ece3aabaddd1a18b067ef40904b48d",,
"Polishchuk A.","7004476955;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021721298&doi=10.1007%2fs00208-017-1562-y&partnerID=40&md5=2954fa88340782ca340338a5772ec351",,
"Ibragimova D., Guseva A.","57193390641;35839522700;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033216228&doi=10.1177%2f0192513X15623588&partnerID=40&md5=0bfe7d60e6994675d2cb5b10d50972ae","gender; household; money; power",
"Babenko M., Artamonov S.","36928337300;57192975188;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038584969&doi=10.4230%2fLIPIcs.ISAAC.2017.8&partnerID=40&md5=0798424c92effca0874694ebb7c8ec59","Graph algorithms; Matchings; Multiflows; Path packings","Polynomial approximation; Bipartite matchings; Graph algorithms; Matchings; Multiflows; Natural combinatorial problems; Path packings; Strongly polynomial time; Vertex disjoint paths; Graph theory"
"Muravyeva M.","55962543500;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032368677&doi=10.1093%2fjsh%2fshx022&partnerID=40&md5=e71a0976d6c61d6b890ff29b41c54a2b",,
"Dmitriev T.","57193870204;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034606120&doi=10.1007%2fs11212-017-9294-9&partnerID=40&md5=51c7864195a931db81813ee56cff9811","Liberalism; Max Weber; Nationalism; Peter Struve; Political freedoms; Revolution as a religious and cultural problem; Russian Revolution",
"Rastvortseva S.","57188713270;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035309182&partnerID=40&md5=df0b6287a1bfd2e606ce1c64d4bd5d03","Location theory; New economic geography; Regional economics; Regions of Russia; The geographic concentration of economic activity",
