;Область, Авторы,Идентификаторы авторов,Ссылка,Ключевые слова автора,Ключевые слова указателя;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Dushina A.D., Kersha Y.D., Larkina T.Y., Provorova D.D.,""57191359289";57191364802;57191338988;57191362076;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033386035&doi=10.1080%2f10609393.2017.1353835&partnerID=40&md5=dddc8d10c4c5edcf8b4e2af42a5bec7a"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Yuanfeng Z.,""54416623900";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990840587&doi=10.1007%2fs11266-016-9795-z&partnerID=40&md5=ba62b8d5d9abade852d6d941fe9a1d52"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"David-Fox M.,""26033271900";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962279400&doi=10.1353%2fkri.2016.0009&partnerID=40&md5=4506479dbd57d25e7d3c54f88e19e657"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Kuskova V., Yudkevich M.,""25224661800";25924090500;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021084216&doi=10.4324%2f9781315543437&partnerID=40&md5=88661bc8149e0d3119a00d50bfd5832d"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Altbach P.G., Yudkevich M.,""16418407500";25924090500;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021138188&doi=10.4324%2f9781315543437&partnerID=40&md5=580714b45bc78bf79488703692252d9f"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Yudkevich M., Altbach P.G., Rumbley L.E.,""25924090500";16418407500;55611698800;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021081234&doi=10.4324%2f9781315543437&partnerID=40&md5=0472e274d7cd0347af04df4a3076d4ae"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Smolentseva A.,""55296173600";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027255182&doi=10.4324%2f9781315684574&partnerID=40&md5=45aa1eb0c713af166989e44d4630690b"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Taradina L., Yudkevich M.,""57195419943";25924090500;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028005904&doi=10.4324%2f9781315738550&partnerID=40&md5=6bc2709f2d2cb80318815ae0f067ece8"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Plakhotnik M.S.,""36931179600";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015243823&doi=10.4018%2f978-1-5225-1732-0.ch006&partnerID=40&md5=e3903944158f7f887287273f8f25c942"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Kapuza A.V., Tyumeneva Y.A.,""57194633131";12790872300;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020454700&doi=10.14515%2fmonitoring.2016.6.02&partnerID=40&md5=28947f15b9250628ab46a07c008fd31b"",""Factor structure"; Item response theory; Marlowe- Crowne scale; Reliability;" Social desirability"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Lukin V.,""56924745800";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991516875&doi=10.1080%2f09700161.2016.1224071&partnerID=40&md5=dd16c99c3ad482d2079918eb245a2d92"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Kosaretsky S., Grunicheva I., Goshin M.,""15058987600";57192251715;57192251225;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029474483&doi=10.1080%2f10609393.2016.1342196&partnerID=40&md5=32f35344cb6e44c048a84f7244954ec1"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Isupova O.G., Utkina V.V.,""55622966000";57194497368;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020431775&doi=10.14515%2fmonitoring.2016.6.05&partnerID=40&md5=8dc0b6aa3662f9a88e9622e66517ace9"",""Family-work balance"; Fertility; Intense mothering; Reproductive intentions;" State service"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Savelyev O.V., Khetagurova Z.K.,""57192279098";57192270509;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85002581175&doi=10.20542%2f0131-2227-2016-60-11-25-34&partnerID=40&md5=29761d04dc3cafbfe015ebe7105bdc7f"",""Anti-dumping measures"; Dispute settlement system; International trade; Trade barriers; Trade remedies; US Court of International Trade;" WTO"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Dovbysh O.S., Gudova E.A.,""56554184600";57194499619;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020109255&doi=10.14515%2fmonitoring.2016.6.08&partnerID=40&md5=8b28203fe1f6bc5a44574c372f4573e8"",""Mass media"; Media system; Post-Soviet period; Regional disproportions; Russian regions; State contracts;" State support for mass media"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Popova S.A.,""55511923100";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029502992&doi=10.1080%2f10609393.2016.1342197&partnerID=40&md5=9cc5ad107238cc8f75200860ee376624"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Rotmistrov A.N., Popova P.A.,""57194498390";57194007167;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020485528&doi=10.14515%2fmonitoring.2016.6.01&partnerID=40&md5=7928d40b9a21e59d4ee210c80e0832bd"",""Clustering"; Ideology; Log-linear analysis; Maidan; Radical nationalism;" Russia"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Lukyanov F.,""24481505000";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991435194&doi=10.1080%2f09700161.2016.1224064&partnerID=40&md5=f2b847d1b57490c6857b5f577de258e3"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Zakharenko R.,""54793839200";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989170546&doi=10.1016%2fj.regsciurbeco.2016.09.003&partnerID=40&md5=f267942adec1849507522fa5d9ed906b"",""Autonomous vehicles"; Commute; Parking; Self-driving cars;" Urban forms"",""automobile"; commuting; parking;" urban economy""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Dementiev A.,""56400808300";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85002194288&doi=10.1016%2fj.retrec.2016.07.017&partnerID=40&md5=a306b459de9272f5c0591f5d01d9da50"",""Delegation"; Mixed enterprises; Organisational choice; Ownership structures; Russia; Strategic partnerships;" Suburban rail"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Gasparyan D.,""24176741200";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995676381&partnerID=40&md5=9d90b10adc24acb8e5dfc9bc50b2c548"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Skorobogatov A.S.,""55582487700";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945207554&doi=10.1080%2f1060586X.2015.1097045&partnerID=40&md5=04986eb4f2eb38201cea095e3911b7d2"",""difference-in-differences"; mass media; Natural experiment; Orthodox Church;" placebo"",""church role"; Internet; mass media; religion;" Russian Federation""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Karabchuk T.,""56206039600";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981203625&doi=10.1007%2fs11299-016-0194-3&partnerID=40&md5=e9605bc1fff0a2bb10bed0f95378e13e"",""Children"; Employment; Employment protection legislation; European countries; Females;" Subjective well-being"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Strebkov D.O., Shevchuk A.V., Spirina M.O.,""35821606000";36009573400;57191359063;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020424514&doi=10.14515%2fmonitoring.2016.6.06&partnerID=40&md5=ac8d0028e330968020cb9a732dbe10ad"",""Diffusion of innovations"; Freelancers; Informal employment; Labor market; Remote work;" Self-employment"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
